,Date,Time,MMSI,Lon,Lat,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD,Destination
303,2024-02-24,09:32:07,440304710.0,125.40048186151395,35.98413548877414,179.7,3.2407199999999996,NCC QASSIM,CHEMICAL_TANKER,0.0,0.0,0.0,0.0,NINGBO
304,2024-02-24,09:32:23,440304820.0,126.11274667,37.16703167,121.6,0.0,VASILIY MALOV,CARGO,0.0,0.0,0.0,0.0,ZHOUSHAN CH
305,2024-02-24,09:32:20,440307810.0,126.20694864336018,36.90304277395982,245.3,0.05144,HUA DONG 88,ETC,0.0,0.0,0.0,0.0,ZHOSHAN
306,2024-02-24,09:32:21,440312520.0,126.419405,37.01596333,334.2,0.0,DUPLIC DYNAMIC,TANKER,0.0,0.0,0.0,0.0,ZOS CN
307,2024-02-24,09:32:18,440314480.0,125.3640502454145,36.782235378096686,292.0,4.732479999999999,MUROU,CARGO,0.0,0.0,0.0,0.0,CN ZOS
308,2024-02-24,09:32:22,440314850.0,126.38918246416544,37.050838007330235,186.7,0.05144,BONAVIA,BULK,28.0,9.0,4.0,4.0,TW TPE
309,2024-02-24,09:32:25,440315580.0,125.98358833,37.27765667,178.6,0.0,AN JI 26,PCC,100.0,27.0,15.0,17.0,NINGBO
310,2024-02-24,09:32:07,440315950.0,126.529279402768,35.93778212282372,19.3,0.10288,PACIFIC FRIEDA,BULK,4.0,7.0,2.0,2.0,"NINGBO,CHINA"
311,2024-02-24,09:32:20,440320620.0,126.83326667,36.95096667,170.1,0.0,SHI YUAN,PCC,0.0,0.0,0.0,0.0,MEI SHAN
312,2024-02-24,09:32:21,440321070.0,126.31580924646022,37.022553512702146,262.7,0.05144,CARLOS DRUMMOND DE A,TANKER,72.0,18.0,9.0,4.0,ZHOUSHAN-CHINA
313,2024-02-24,09:32:20,440325110.0,125.78857283794031,36.899138041575554,240.6,0.10288,KAHLA,TANKER,0.0,0.0,0.0,0.0,CN ZOS
314,2024-02-24,09:32:18,440325130.0,125.60631957206697,36.77764383421461,216.3,0.20576,NORTH GIANT,CHEMICAL_TANKER,0.0,0.0,0.0,0.0,ZHOUSHAN
315,2024-02-24,09:32:20,440325460.0,125.92898411924841,36.96428262136399,130.4,4.9382399999999995,BLISSFUL SEA,TANKER,0.0,0.0,0.0,0.0,CN ZHA
316,2024-02-24,09:32:18,440327660.0,126.131575,36.777205,148.4,0.0,YUAN YANG HU,TANKER,0.0,0.0,4.0,0.0,CN NBO
317,2024-02-24,09:32:20,440328420.0,126.83332167,36.95009833,174.3,0.0,BERGE ASAHIDAKE,BULK,16.0,20.0,3.0,5.0,ID BXT
318,2024-02-24,09:32:26,440329370.0,126.00873833,37.350585,208.3,0.0,GRACE BRIDGE,CONTAINER,0.0,0.0,0.0,0.0,KRKAN
319,2024-02-24,09:32:21,440330260.0,126.419,37.01582167,6.9,0.0,EVER OPTIMA,CONTAINER,0.0,0.0,0.0,0.0,TW TPE
320,2024-02-24,09:32:11,440332730.0,125.72437835151526,36.25231075443748,79.0,3.70368,SAEHAN ZENITH,LPG,0.0,0.0,8.0,0.0,CN NBG
321,2024-02-24,09:32:21,440333250.0,125.72554799767015,36.97723711770486,125.0,0.05144,INTERASIA HORIZON,CONTAINER,64.0,0.0,0.0,0.0,CNHKG
322,2024-02-24,09:32:16,440336280.0,125.42452776373901,36.6290527826867,0.9,4.01232,ZHONG LIANG YUAN HE,CARGO,10.0,15.0,2.0,3.0,TAI ZHOU
323,2024-02-24,09:32:21,440336820.0,126.41680167,37.01561833,172.4,0.0,BBC WASHINGTON,CARGO,0.0,0.0,0.0,0.0,CN ZOS
324,2024-02-24,09:32:21,440337110.0,126.42065231021597,37.01848472204968,177.8,0.05144,ANGARA,RORO,0.0,3.0,0.0,0.0,SINGAPORE
325,2024-02-24,09:32:07,440403290.0,126.4678045059388,35.91454046851521,71.9,4.52672,MELODY SELMER,BULK,0.0,0.0,0.0,0.0,CNZOS
326,2024-02-24,09:32:23,440403540.0,126.52489772396837,37.13094074544431,94.6,4.3724,CHANG HANG MA NAO,TANKER,86.0,39.0,15.0,5.0,ZHOUSHAN
327,2024-02-24,09:32:21,440427000.0,126.15228167,37.01935833,198.1,0.0,CLIPPER HONG KONG,BULK,93.0,27.0,3.0,17.0,CNZOS
328,2024-02-24,09:32:13,440467000.0,126.48223333,36.39865,161.0,0.0,RTM COLUMBUS,BULK,251.0,38.0,21.0,24.0,CN BEI
329,2024-02-24,09:32:12,440498000.0,126.32498000724249,36.327256187145245,337.9,2.16048,ATACAMA,CONTAINER,13.0,19.0,2.0,2.0,NINGBO PSTN
330,2024-02-24,09:32:21,440500084.0,126.0066912817919,37.02811176734127,95.9,0.05144,ALIANCA MANAUS,CONTAINER,0.0,0.0,0.0,0.0,TANJUNG PELEPAS
331,2024-02-24,09:32:07,440500192.0,126.50530296986695,35.975707298814314,65.4,6.481439999999999,RTM CABOT,BULK,0.0,0.0,0.0,0.0,CN XMN
332,2024-02-24,09:32:08,440500200.0,126.565365,35.975935,237.8,0.0,UNIONHOPE,BULK,0.0,0.0,0.0,0.0,CHXMN
333,2024-02-24,09:32:08,440500210.0,126.62390167,35.97722167,78.1,0.0,NAVIOS BONHEUR,BULK,0.0,0.0,0.0,0.0,CN QDG
334,2024-02-24,09:32:08,440500240.0,126.56501167,35.97566667,105.7,0.0,HUA WU,TUG,0.0,0.0,0.0,0.0,TAI ZHOU
335,2024-02-24,09:32:07,440500910.0,126.49675595590425,35.93305647207763,112.6,4.732479999999999,ARIS GLORY,BULK,0.0,0.0,0.0,0.0,ZHOUSHAN
336,2024-02-24,09:32:08,440500970.0,126.62315,35.9784,69.3,0.0,AVILA,BULK,15.0,14.0,3.0,6.0,CN DJK
337,2024-02-24,09:32:04,440501540.0,126.1101811447116,35.69304834295743,280.3,4.8868,OCEAN DRAGON,CONTAINER,0.0,0.0,0.0,0.0,ZHOU SHAN L1
338,2024-02-24,09:32:08,440502140.0,126.70086267571035,35.99222311355965,348.4,0.05144,RO PRINCESS,RORO,0.0,0.0,0.0,0.0,CNZOS
339,2024-02-24,09:32:08,440502370.0,126.70089833,35.99201667,308.4,0.0,KARAN,TANKER,0.0,0.0,0.0,0.0,AEKLF
340,2024-02-24,09:32:20,440502450.0,126.844885,36.955005,140.2,0.0,MASAL,TANKER,16.0,20.0,4.0,5.0,ZUS
341,2024-02-24,09:32:08,440502600.0,126.62393200573784,35.97727079195215,15.1,0.05144,HAI YUE 166,TUG,0.0,0.0,0.0,0.0,ZHOU SHAN
342,2024-02-24,09:32:07,440502850.0,126.35878701812643,35.953506347104806,100.6,7.8703199999999995,STOLT PRIDE,CHEMICAL_TANKER,0.0,0.0,0.0,0.0,CN NGB
343,2024-02-24,09:32:21,440503100.0,126.39913333,37.03708333,186.0,0.0,ONE MODERN,CONTAINER,97.0,21.0,5.0,14.0,CN NGB
344,2024-02-24,09:32:06,440503550.0,126.16694504394441,35.84138609622581,44.3,4.26952,HUA DONG 88,ETC,0.0,0.0,0.0,0.0,ZHOSHAN
345,2024-02-24,09:32:21,440503580.0,126.42061,37.01554167,0.0,0.0,YONGCHANGCHANGHANG,TANKER,0.0,0.0,0.0,0.0,TAI ZHOU
346,2024-02-24,09:32:09,440503980.0,126.33263544499944,36.07169318915945,137.5,4.21808,BERGE DHAULAGIRI,BULK,0.0,0.0,0.0,0.0,CN BEI
347,2024-02-24,09:32:03,440504120.0,126.4605957777771,35.619439773490306,47.6,4.423839999999999,BAO HONG 10,CARGO,0.0,0.0,0.0,0.0,WEF CN
348,2024-02-24,09:32:07,440504170.0,125.81091787687943,35.92785616532637,60.1,1.64608,TONG YEA NO.3,PRODUCT_TANKER,0.0,0.0,0.0,0.0,
349,2024-02-24,09:32:21,440504300.0,126.09556390242155,37.0661701610537,204.8,6.84152,HUA DA,TUG,91.0,21.0,5.0,14.0,NANHAISHIHAO
350,2024-02-24,09:32:07,440504330.0,126.53238162200624,35.93658440164827,20.0,0.05144,SHI YUAN,PCC,0.0,0.0,0.0,0.0,MEI SHAN
