ImageName,X,Y,W,H,Lon,Lat
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6423,3953,6,8,126.38334535621584,36.70743971741114
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5890,4000,8,9,126.28776460998553,36.698905722212004
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5901,3848,9,10,126.289830735139,36.726124675320825
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6041,3775,7,8,126.31480390003753,36.73941974152579
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6581,4113,7,6,126.41182195072243,36.67887329137614
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7433,3757,7,10,126.5648948751364,36.7424740134918
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7199,3600,7,9,126.5228537198396,36.77077094494157
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7763,3712,8,9,126.6242735154167,36.75064868257729
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7986,3585,7,8,126.66424854556001,36.773555722322335
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8320,3719,9,11,126.72443566959603,36.749211378122695
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8342,3534,8,11,126.72829842531775,36.78244904363512
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8782,3548,8,12,126.80735017032026,36.77984392931118
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9225,3765,9,11,126.88703073602166,36.7409468775088
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10217,4006,8,9,127.06516665686256,36.69782774387106
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10378,4013,7,9,127.0940025774828,36.696570102473295
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9860,3988,4,12,127.00066761946277,36.70079218430865
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10989,3534,9,9,127.20395636825903,36.782628706691945
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10886,3710,8,10,127.18536124187776,36.750918177162525
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11646,3855,8,9,127.32190516506392,36.724956865451475
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11647,3855,7,10,127.32199499659234,36.72486703392306
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12174,3768,7,8,127.41667742753853,36.740677382923565
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12468,3850,9,15,127.46967802930158,36.72531619156512
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12227,3927,9,10,127.42637923260702,36.71193129383174
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13046,3861,7,10,127.57334361308898,36.72378905558212
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13351,3637,7,9,127.62814084542026,36.76412341183908
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13613,3639,8,9,127.67530239783655,36.763764085725434
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13349,3636,9,10,127.62796118236344,36.76421324336749
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13876,3990,7,11,127.72246395025282,36.70052268972342
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14475,3615,7,10,127.83008212129033,36.7679861675608
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14813,3519,10,13,127.89107772908206,36.784964326430654
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2012,4060,7,10,125.59094144409401,36.68803610727416
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5200,4116,6,10,126.1636174377202,36.67797497609202
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5377,4120,8,10,126.19559746183486,36.677256323864725
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5850,4066,7,9,126.28048825618416,36.687047960461626
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5951,4178,7,10,126.29863422492338,36.66683586656894
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6253,4694,9,6,126.35307213114102,36.574489055361454
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7374,4180,8,9,126.5543845863122,36.666566371983706
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7029,4220,8,11,126.49240083170795,36.65920018665392
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7921,4355,9,10,126.65275010992329,36.635035505511105
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8417,4618,9,10,126.74186298610795,36.58778412156642
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8837,4484,8,9,126.81723163844558,36.611948802709236
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9126,4391,7,12,126.86906443033926,36.628387972408625
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10474,4625,7,10,127.1112502309379,36.58652648016865
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10410,4251,7,8,127.09975179530116,36.653900126477616
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10626,4692,8,7,127.13864884710354,36.57475854994669
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10818,4124,6,9,127.1729644909569,36.67662750316584
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10473,4625,8,9,127.11116039940948,36.586616311697064
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11801,4379,7,10,127.34966310734322,36.63072359214733
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13457,4220,8,10,127.64727496097201,36.65929001818233
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13805,4075,8,9,127.70979770474673,36.68543099295021
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14183,4249,11,11,127.7779798348114,36.65398995800603
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,15910,4684,7,11,128.08789860783264,36.57583652828763
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,1105,5112,8,20,125.42807688308315,36.49813225621129
